Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,191.130005,198.520004,191.009995,196.839996,196.365326,43872300
2020-06-11,193.130005,195.759995,186.070007,186.270004,185.820816,52854700
2020-06-12,190.539993,191.720001,185.179993,187.740005,187.287277,43345700
2020-06-15,184.580002,190.820007,184.009995,188.940002,188.484375,32770200
2020-06-16,192.889999,195.580002,191.460007,193.570007,193.103210,42556700
2020-06-17,195.029999,196.320007,193.690002,194.240005,193.771591,25655900
2020-06-18,194.000000,196.490005,194.000000,196.320007,195.846588,23061600
2020-06-19,198.589996,199.289993,194.369995,195.149994,194.679398,44441100
2020-06-22,195.789993,200.759995,195.229996,200.570007,200.086334,32818900
2020-06-23,202.089996,203.949997,201.429993,201.910004,201.423096,30917400
2020-06-24,201.600006,203.250000,196.559998,197.839996,197.362915,36740600
2020-06-25,197.800003,200.610001,195.470001,200.339996,199.856873,27803900
2020-06-26,199.729996,199.889999,194.880005,196.330002,195.856552,54675800
2020-06-29,195.779999,198.529999,193.550003,198.440002,197.961472,26701600
2020-06-30,197.880005,204.399994,197.740005,203.509995,203.019226,34310300
2020-07-01,203.139999,206.350006,201.770004,204.699997,204.206360,32061200
2020-07-02,205.679993,208.020004,205.000000,206.259995,205.762604,29315800
2020-07-06,208.830002,211.130005,208.089996,210.699997,210.191895,31897600
2020-07-07,210.449997,214.669998,207.990005,208.250000,207.747803,33600700
2020-07-08,210.070007,213.259995,208.690002,212.830002,212.316772,33600000
2020-07-09,216.330002,216.380005,211.470001,214.320007,213.803177,33121700
2020-07-10,213.619995,214.080002,211.080002,213.669998,213.154739,26177600
2020-07-13,214.479996,215.800003,206.500000,207.070007,206.570663,38135600
2020-07-14,206.130005,208.850006,202.029999,208.350006,207.847580,37591800
2020-07-15,209.559998,211.330002,205.029999,208.039993,207.538315,32179400
2020-07-16,205.399994,205.699997,202.309998,203.919998,203.428253,29940700
2020-07-17,204.470001,205.039993,201.389999,202.880005,202.390762,31635300
2020-07-20,205.000000,212.300003,203.009995,211.600006,211.089737,36884800
2020-07-21,213.660004,213.940002,208.029999,208.750000,208.246597,38105800
2020-07-22,209.199997,212.300003,208.389999,211.750000,211.239365,49605700
2020-07-23,207.190002,210.919998,202.149994,202.539993,202.051575,67457000
2020-07-24,200.419998,202.860001,197.509995,201.300003,200.814575,39827000
2020-07-27,201.470001,203.970001,200.860001,203.850006,203.358429,30160900
2020-07-28,203.610001,204.699997,201.740005,202.020004,201.532837,23251400
2020-07-29,202.500000,204.649994,202.009995,204.059998,203.567917,19632600
2020-07-30,201.000000,204.460007,199.570007,203.899994,203.408295,25079600
2020-07-31,204.399994,205.100006,199.009995,205.009995,204.515610,51248000
2020-08-03,211.520004,217.639999,210.440002,216.539993,216.017807,78983000
2020-08-04,214.169998,214.770004,210.309998,213.289993,212.775650,49280100
2020-08-05,214.899994,215.000000,211.570007,212.940002,212.426498,28858600
2020-08-06,212.339996,216.369995,211.550003,216.350006,215.828278,32656800
2020-08-07,214.850006,215.699997,210.929993,212.479996,211.967606,27789600
2020-08-10,211.669998,211.880005,206.350006,208.250000,207.747803,36716500
2020-08-11,207.160004,207.649994,203.139999,203.380005,202.889557,36446500
2020-08-12,205.289993,210.279999,204.750000,209.190002,208.685547,28041400
2020-08-13,209.440002,211.350006,208.149994,208.699997,208.196716,22588900
2020-08-14,208.759995,209.589996,207.509995,208.899994,208.396240,17958900
2020-08-17,209.600006,211.190002,208.919998,210.279999,209.772919,20184800
2020-08-18,210.529999,212.360001,209.210007,211.490005,210.979996,21336200
2020-08-19,211.490005,212.100006,209.250000,209.699997,209.699997,27627600
2020-08-20,209.539993,215.000000,208.910004,214.580002,214.580002,26981500
2020-08-21,213.860001,216.250000,212.850006,213.020004,213.020004,36249300
2020-08-24,214.789993,215.520004,212.429993,213.690002,213.690002,25460100
2020-08-25,213.100006,216.610001,213.100006,216.470001,216.470001,23043700
2020-08-26,217.880005,222.089996,217.360001,221.149994,221.149994,39600800
2020-08-27,222.889999,231.149994,219.399994,226.580002,226.580002,57602200
2020-08-28,228.179993,230.639999,226.580002,228.910004,228.910004,26292900
2020-08-31,227.000000,228.699997,224.309998,225.529999,225.529999,28774200
2020-09-01,225.509995,227.449997,224.429993,227.270004,227.270004,25791200
2020-09-02,227.970001,232.860001,227.350006,231.649994,231.649994,34080800
2020-09-03,229.270004,229.309998,214.960007,217.300003,217.300003,58400300
2020-09-04,215.100006,218.360001,205.190002,214.250000,214.250000,59664100
2020-09-08,206.500000,210.029999,202.199997,202.660004,202.660004,52789400
